name,name_local,star_rating,meal_plan,meal_plan_local,room_type,room_type_local,ht_place,price,original_price,check_in,check_out,nights,departure,full_number,hotel_inc,town_inc,star_inc,econom_in,econom_out,spog,cat_claim,cat_claim_inc,scraped_at
May Flower Apart,May Flower Apart,***,RO,RO,Studio Room,Studio Room,2 PAX,902.89,1124.89,2026-06-26T00:00:00,2026-07-03T00:00:00,7,CPH,CPH-383-AYT,72,1446,3,2,2,293121,0x430A0000005200000007950000000900000010000000000014B3C1B4750000000479010700000048000001610000000F0000000900000000000000000000000100001E00B47C000007000000000089C5240000000302020000636363B4750000B47C000002000000000600000000000000000000000000000000000000000000000000000000,1356737,2026-06-22T11:47:00.218604
Lemas Suite Hotel(Ex. Lemas Suite Hotel By Kulabey),Lemas Suite Hotel(Ex. Lemas Suite Hotel By Kulabey),***,RO,RO,Standard Twin Room,Standard Twin Room,DBL,912.22,1134.22,2026-06-26T00:00:00,2026-07-03T00:00:00,7,CPH,CPH-423-AYT,1580,1239,3,2,2,293753,0x430A000000520000000795000000090000001000000000006BC168B475000000047B79070000062C00000988000000040000000900000000000000000000000100001E00B47C00000700000000008B31980000000302020000636363B4750000B47C000002000000000600000000000000000000000000000000000000000000000000000000,7061864,2026-06-22T11:47:00.218609
Angora Apart Hotel,Angora Apart Hotel,***,RO,RO,Apart Room,Apart Room,2 PAX,955.77,1177.77,2026-06-28T00:00:00,2026-07-05T00:00:00,7,CPH,CPH-51-AYT,1588,1446,3,1,1,287561,0x430A000000520000000795000000090000001000000000006C0A08B4770000000463490700000634000000490000000F0000000900000000000000000000000100001E00B47E000007000000000091D6C40000000302020000636363B4770000B47E000002000000000600000000000000000000000000000000000000000000000000000000,7080456,2026-06-22T11:47:00.218614
Blue Heaven Beach Apart,Blue Heaven Beach Apart,***,RO,RO,Family Suite,Family Suite,2 PAX,955.77,1177.77,2026-06-28T00:00:00,2026-07-05T00:00:00,7,CPH,CPH-51-AYT,89,1944,3,1,1,287561,0x430A0000005200000007950000000900000010000000000014B613B4770000000463490700000059000001580000000F0000000900000000000000000000000100001E00B47E000007000000000091D6C40000000302020000636363B4770000B47E000002000000000600000000000000000000000000000000000000000000000000000000,1357331,2026-06-22T11:47:00.218620
Mitos Apart Hotel,Mitos Apart Hotel,***,RO,RO,STANDARD ROOM,STANDARD ROOM,DBL,826.67,1048.67,2026-06-29T00:00:00,2026-07-06T00:00:00,7,CPH,CPH-245-AYT,1096,1446,3,1,1,290722,0x430A000000520000000795000000090000001000000000006A1E60B478000000046FA2070000044800000004000000040000000900000000000000000000000100001E00B47F00000700000000007E23CC0000000302020000636363B4780000B47F000002000000000600000000000000000000000000000000000000000000000000000000,6954592,2026-06-22T11:47:02.344277
Alanya Ada Apart Hotel,Alanya Ada Apart Hotel,***,RO,RO,Studio Room,Studio Room,2 PAX,871.77,1093.77,2026-06-29T00:00:00,2026-07-06T00:00:00,7,CPH,CPH-247-AYT,173,1446,3,1,1,290789,0x430A00000052000000079500000009000000100000000000147AB6B478000000046FE507000000AD000001610000000F0000000900000000000000000000000100001E00B47F00000700000000008505840000000302020000636363B4780000B47F000002000000000600000000000000000000000000000000000000000000000000000000,1342134,2026-06-22T11:47:02.344297
Kleopatra Bavyera Hotel,Kleopatra Bavyera Hotel,***,BB,BB,Economy Room,Economy Room,DBL,876.15,1098.15,2026-06-29T00:00:00,2026-07-06T00:00:00,7,CPH,CPH-543-AYT,80,1446,3,1,1,295635,0x430A0000005200000007950000000900000010000000000014B79DB4780000000482D3070000005000000016000000040000000400000000000000000000000100001E00B47F000007000000000085B09C0000000302020000636363B4780000B47F000002000000000600000000000000000000000000000000000000000000000000000000,1357725,2026-06-22T11:47:02.344303
Kleopatra Bebek Hotel,Kleopatra Bebek Hotel,***,BB,BB,Economy Room,Economy Room,DBL,876.15,1098.15,2026-06-29T00:00:00,2026-07-06T00:00:00,7,CPH,CPH-544-AYT,81,1446,3,1,1,295647,0x430A0000005200000007950000000900000010000000000014B7B9B4780000000482DF070000005100000016000000040000000400000000000000000000000100001E00B47F000007000000000085B09C0000000302020000636363B4780000B47F000002000000000600000000000000000000000000000000000000000000000000000000,1357753,2026-06-22T11:47:02.344308
Sunway Apart Hotel,Sunway Apart Hotel,***,RO,RO,Apart Room 1+1,Apart Room 1+1,2 PAX,886.0,1108.0,2026-06-29T00:00:00,2026-07-06T00:00:00,7,CPH,CPH-51-AYT,256,1446,3,1,1,287561,0x430A000000520000000795000000090000001000000000001495F3B47800000004634907000001000000004A0000000F0000000900000000000000000000000100001E00B47F00000700000000008731600000000302020000636363B4780000B47F000002000000000600000000000000000000000000000000000000000000000000000000,1349107,2026-06-22T11:47:02.344314
May Flower Apart,May Flower Apart,***,RO,RO,Studio Room,Studio Room,2 PAX,910.0,1132.0,2026-06-29T00:00:00,2026-07-06T00:00:00,7,CPH,CPH-383-AYT,72,1446,3,1,1,293121,0x430A0000005200000007950000000900000010000000000014B76DB4780000000479010700000048000001610000000F0000000900000000000000000000000100001E00B47F00000700000000008ADAE00000000302020000636363B4780000B47F000002000000000600000000000000000000000000000000000000000000000000000000,1357677,2026-06-22T11:47:02.344319
